_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.4,TRR00422,M1,1,0,TRRUST,34,Regulated by: GLI2,,-5.4,20,9.6,30169,20,374,5,1.3,0.59,596|999|2303|3725|10468,BCL2|CDH1|FOXC2|JUN|FST,-4.4,0
1,-5.4,TRR00908,M1,1,0,TRRUST,34,Regulated by: NR3C1,,-5.4,11,7.9,30169,53,374,7,1.9,0.7,595|672|1019|2668|4128|4790|7157,CCND1|BRCA1|CDK4|GDNF|MAOA|NFKB1|TP53,-4.3,0
1,-5.3,TRR00362,M1,1,0,TRRUST,34,Regulated by: FOXM1,,-5.3,19,9.4,30169,21,374,5,1.3,0.59,367|999|1029|7422|83990,AR|CDH1|CDKN2A|VEGFA|BRIP1,-4.3,0
1,-5.3,TRR00023,M1,1,0,TRRUST,34,Regulated by: ATF2,,-5.3,13,8.4,30169,36,374,6,1.6,0.65,595|3630|3725|4214|5970|8869,CCND1|INS|JUN|MAP3K1|RELA|ST3GAL5,-4.3,0
1,-5.3,TRR01235,M1,1,0,TRRUST,34,Regulated by: SMAD3,,-5.3,13,8.4,30169,36,374,6,1.6,0.65,3725|5054|5447|7040|7422|10468,JUN|SERPINE1|POR|TGFB1|VEGFA|FST,-4.3,0
1,-5.2,TRR01047,M1,1,0,TRRUST,34,Regulated by: PML,,-5.2,18,9.1,30169,22,374,5,1.3,0.59,595|1956|2033|7157|10499,CCND1|EGFR|EP300|TP53|NCOA2,-4.2,0
1,-5.1,TRR00515,M1,1,0,TRRUST,34,Regulated by: HOXB7,,-5.1,29,11,30169,11,374,4,1.1,0.53,595|1027|1956|7422,CCND1|CDKN1B|EGFR|VEGFA,-4.1,0
1,-5.1,TRR01260,M1,1,0,TRRUST,34,Regulated by: SP4,,-5.1,29,11,30169,11,374,4,1.1,0.53,595|2064|4790|5970,CCND1|ERBB2|NFKB1|RELA,-4.1,0
1,-5.1,TRR01156,M1,1,0,TRRUST,34,Regulated by: RBPJ,,-5.1,60,13,30169,4,374,3,0.8,0.46,3569|4790|5728,IL6|NFKB1|PTEN,-4.1,0
1,-5.1,TRR01521,M1,1,0,TRRUST,34,Regulated by: VHL,,-5.1,18,8.9,30169,23,374,5,1.3,0.59,367|595|1027|7157|7422,AR|CCND1|CDKN1B|TP53|VEGFA,-4.1,0
1,-5,TRR01239,M1,1,0,TRRUST,34,Regulated by: SMARCA4,,-5,27,10,30169,12,374,4,1.1,0.53,595|999|1029|2353,CCND1|CDH1|CDKN2A|FOS,-4,0
1,-4.9,TRR00233,M1,1,0,TRRUST,34,Regulated by: E2F4,,-4.9,16,8.5,30169,25,374,5,1.3,0.59,367|595|672|1017|5888,AR|CCND1|BRCA1|CDK2|RAD51,-3.9,0
1,-4.8,TRR00342,M1,1,0,TRRUST,34,Regulated by: FOS,,-4.8,8.8,7,30169,64,374,7,1.9,0.7,595|2353|2950|3169|3576|4790|7157,CCND1|FOS|GSTP1|FOXA1|CXCL8|NFKB1|TP53,-3.8,0
1,-4.8,TRR00412,M1,1,0,TRRUST,34,Regulated by: GATA3,,-4.8,11,7.5,30169,43,374,6,1.6,0.65,999|2099|2303|2625|4790|5970,CDH1|ESR1|FOXC2|GATA3|NFKB1|RELA,-3.8,0
1,-4.8,TRR01172,M1,1,0,TRRUST,34,Regulated by: RUNX1,,-4.8,11,7.5,30169,43,374,6,1.6,0.65,2811|3725|4763|4790|5970|7422,GP1BA|JUN|NF1|NFKB1|RELA|VEGFA,-3.8,0
1,-4.7,TRR00504,M1,1,0,TRRUST,34,Regulated by: HOPX,,-4.7,48,12,30169,5,374,3,0.8,0.46,2260|2353|4014,FGFR1|FOS|LORICRIN,-3.7,0
1,-4.7,TRR01037,M1,1,0,TRRUST,34,Regulated by: PIAS3,,-4.7,48,12,30169,5,374,3,0.8,0.46,2099|2668|6774,ESR1|GDNF|STAT3,-3.7,0
1,-4.7,TRR01416,M1,1,0,TRRUST,34,Regulated by: TNFAIP3,,-4.7,48,12,30169,5,374,3,0.8,0.46,3725|4790|5970,JUN|NFKB1|RELA,-3.7,0
1,-4.7,TRR01508,M1,1,0,TRRUST,34,Regulated by: UHRF1,,-4.7,48,12,30169,5,374,3,0.8,0.46,5925|7153|7422,RB1|TOP2A|VEGFA,-3.7,0
1,-4.7,TRR01575,M1,1,0,TRRUST,34,Regulated by: ZNF24,,-4.7,48,12,30169,5,374,3,0.8,0.46,595|1499|7422,CCND1|CTNNB1|VEGFA,-3.7,0
1,-4.7,TRR01577,M1,1,0,TRRUST,34,Regulated by: ZNF300,,-4.7,48,12,30169,5,374,3,0.8,0.46,1027|3569|3576,CDKN1B|IL6|CXCL8,-3.7,0
1,-4.6,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-4.6,6.8,6.3,30169,95,374,8,2.1,0.75,1103|1956|3569|3659|3717|5465|6774|7157,CHAT|EGFR|IL6|IRF1|JAK2|PPARA|STAT3|TP53,-3.6,0
1,-4.4,TRR01236,M1,1,0,TRRUST,34,Regulated by: SMAD4,,-4.4,13,7.4,30169,32,374,5,1.3,0.59,596|3725|5054|5447|7040,BCL2|JUN|SERPINE1|POR|TGFB1,-3.4,0
1,-4.3,TRR01062,M1,1,0,TRRUST,34,Regulated by: PPARG,,-4.3,7.3,6.2,30169,77,374,7,1.9,0.7,595|596|1956|4982|5054|5728|7157,CCND1|BCL2|EGFR|TNFRSF11B|SERPINE1|PTEN|TP53,-3.4,0
1,-4.3,TRR01382,M1,1,0,TRRUST,34,Regulated by: TBP,,-4.3,19,8.3,30169,17,374,4,1.1,0.53,596|2353|3569|4763,BCL2|FOS|IL6|NF1,-3.4,0
1,-4.3,TRR00469,M1,1,0,TRRUST,34,Regulated by: HDAC2,,-4.3,12,7.2,30169,33,374,5,1.3,0.59,240|999|3479|3576|7422,ALOX5|CDH1|IGF1|CXCL8|VEGFA,-3.3,0
1,-4.3,TRR01512,M1,1,0,TRRUST,34,Regulated by: USF1,,-4.3,7.2,6.2,30169,78,374,7,1.9,0.7,675|4790|5054|5970|7040|7156|7827,BRCA2|NFKB1|SERPINE1|RELA|TGFB1|TOP3A|NPHS2,-3.3,0
1,-4.3,TRR00602,M1,1,0,TRRUST,34,Regulated by: IRF1,,-4.3,9,6.6,30169,54,374,6,1.6,0.65,596|1017|1019|6891|6892|7157,BCL2|CDK2|CDK4|TAP2|TAPBP|TP53,-3.3,0
1,-4.2,TRR00281,M1,1,0,TRRUST,34,Regulated by: ETS2,,-4.2,12,7.1,30169,34,374,5,1.3,0.59,1029|1145|3576|3932|7157,CDKN2A|CHRNE|CXCL8|LCK|TP53,-3.3,0
1,-4.2,TRR00660,M1,1,0,TRRUST,34,Regulated by: KDM4B,,-4.2,35,10,30169,7,374,3,0.8,0.46,367|595|2099,AR|CCND1|ESR1,-3.3,0
1,-4.2,TRR00665,M1,1,0,TRRUST,34,Regulated by: KLF10,,-4.2,35,10,30169,7,374,3,0.8,0.46,1956|2260|5054,EGFR|FGFR1|SERPINE1,-3.3,0
1,-4.2,TRR00527,M1,1,0,TRRUST,34,Regulated by: HSF1,,-4.2,12,7,30169,35,374,5,1.3,0.59,3725|4790|5054|5970|9531,JUN|NFKB1|SERPINE1|RELA|BAG3,-3.2,0
1,-4,TRR00647,M1,1,0,TRRUST,34,Regulated by: JUND,,-4,11,6.8,30169,37,374,5,1.3,0.59,595|2064|3569|4835|7040,CCND1|ERBB2|IL6|NQO2|TGFB1,-3.1,0
1,-4,TRR00421,M1,1,0,TRRUST,34,Regulated by: GLI1,,-4,16,7.6,30169,20,374,4,1.1,0.53,207|596|1017|3725,AKT1|BCL2|CDK2|JUN,-3.1,0
1,-4,TRR00900,M1,1,0,TRRUST,34,Regulated by: NR1H4,,-4,16,7.6,30169,20,374,4,1.1,0.53,3630|4790|5970|7422,INS|NFKB1|RELA|VEGFA,-3.1,0
1,-4,TRR00528,M1,1,0,TRRUST,34,Regulated by: HSF2,,-4,30,9.3,30169,8,374,3,0.8,0.46,2353|5599|6416,FOS|MAPK8|MAP2K4,-3.1,0
1,-4,TRR00753,M1,1,0,TRRUST,34,Regulated by: MEF2D,,-4,30,9.3,30169,8,374,3,0.8,0.46,472|3725|4695,ATM|JUN|NDUFA2,-3.1,0
1,-4,TRR01281,M1,1,0,TRRUST,34,Regulated by: STAT5B,,-4,30,9.3,30169,8,374,3,0.8,0.46,595|2099|3479,CCND1|ESR1|IGF1,-3.1,0
1,-4,TRR01560,M1,1,0,TRRUST,34,Regulated by: ZFP36,,-4,30,9.3,30169,8,374,3,0.8,0.46,3569|3576|7422,IL6|CXCL8|VEGFA,-3.1,0
1,-3.9,TRR00188,M1,1,0,TRRUST,34,Regulated by: DDIT3,,-3.9,15,7.4,30169,21,374,4,1.1,0.53,1017|2668|3569|3576,CDK2|GDNF|IL6|CXCL8,-3,0
1,-3.9,TRR00346,M1,1,0,TRRUST,34,Regulated by: FOXA1,,-3.9,15,7.4,30169,21,374,4,1.1,0.53,596|672|2099|4763,BCL2|BRCA1|ESR1|NF1,-3,0
1,-3.8,TRR00752,M1,1,0,TRRUST,34,Regulated by: MEF2C,,-3.8,27,8.7,30169,9,374,3,0.8,0.46,3725|4204|7422,JUN|MECP2|VEGFA,-2.9,0
1,-3.8,TRR00852,M1,1,0,TRRUST,34,Regulated by: NCOA3,,-3.8,27,8.7,30169,9,374,3,0.8,0.46,596|672|2064,BCL2|BRCA1|ERBB2,-2.9,0
1,-3.8,TRR00855,M1,1,0,TRRUST,34,Regulated by: NCOR1,,-3.8,27,8.7,30169,9,374,3,0.8,0.46,367|2099|3479,AR|ESR1|IGF1,-2.9,0
1,-3.8,TRR01018,M1,1,0,TRRUST,34,Regulated by: PAX5,,-3.8,14,7,30169,23,374,4,1.1,0.53,595|596|5925|7157,CCND1|BCL2|RB1|TP53,-2.9,0
1,-3.7,TRR01580,M1,1,0,TRRUST,34,Regulated by: ZNF382,,-3.7,24,8.2,30169,10,374,3,0.8,0.46,3725|4790|6774,JUN|NFKB1|STAT3,-2.8,0
1,-3.6,TRR00022,M1,1,0,TRRUST,34,Regulated by: ATF1,,-3.6,13,6.7,30169,25,374,4,1.1,0.53,596|2064|7054|7153,BCL2|ERBB2|TH|TOP2A,-2.7,0
1,-3.5,TRR00002,M1,1,0,TRRUST,34,Regulated by: ABL1,,-3.5,22,7.8,30169,11,374,3,0.8,0.46,596|3725|7157,BCL2|JUN|TP53,-2.7,0
1,-3.5,TRR00746,M1,1,0,TRRUST,34,Regulated by: MECP2,,-3.5,22,7.8,30169,11,374,3,0.8,0.46,240|595|2099,ALOX5|CCND1|ESR1,-2.7,0
1,-3.5,TRR00004,M1,1,0,TRRUST,34,Regulated by: AHR,,-3.5,12,6.4,30169,27,374,4,1.1,0.53,595|672|2353|3569,CCND1|BRCA1|FOS|IL6,-2.6,0
1,-3.4,TRR00741,M1,1,0,TRRUST,34,Regulated by: MBD2,,-3.4,20,7.4,30169,12,374,3,0.8,0.46,240|1108|2950,ALOX5|CHD4|GSTP1,-2.6,0
1,-3.4,TRR01395,M1,1,0,TRRUST,34,Regulated by: TCF7L2,,-3.4,20,7.4,30169,12,374,3,0.8,0.46,1499|2625|6774,CTNNB1|GATA3|STAT3,-2.6,0
1,-3.3,TRR00655,M1,1,0,TRRUST,34,Regulated by: KAT2B,,-3.3,19,7.1,30169,13,374,3,0.8,0.46,1017|1027|5925,CDK2|CDKN1B|RB1,-2.5,0
1,-3.3,TRR01005,M1,1,0,TRRUST,34,Regulated by: OTX2,,-3.3,19,7.1,30169,13,374,3,0.8,0.46,3479|3569|7439,IGF1|IL6|BEST1,-2.5,0
1,-3.3,TRR00136,M1,1,0,TRRUST,34,Regulated by: CTCF,,-3.3,11,6,30169,30,374,4,1.1,0.53,595|672|4763|147912,CCND1|BRCA1|NF1|SIX5,-2.5,0
1,-3.3,TRR00872,M1,1,0,TRRUST,34,Regulated by: NFIC,,-3.3,11,6,30169,30,374,4,1.1,0.53,3146|3569|3725|80781,HMGB1|IL6|JUN|COL18A1,-2.5,0
1,-3.1,TRR00705,M1,1,0,TRRUST,34,Regulated by: LEF1,,-3.1,9.8,5.7,30169,33,374,4,1.1,0.53,367|595|1499|2099,AR|CCND1|CTNNB1|ESR1,-2.3,0
1,-3.1,TRR00883,M1,1,0,TRRUST,34,Regulated by: NFYC,,-3.1,16,6.6,30169,15,374,3,0.8,0.46,1027|2353|54345,CDKN1B|FOS|SOX18,-2.3,0
1,-3.1,TRR01212,M1,1,0,TRRUST,34,Regulated by: SATB1,,-3.1,16,6.6,30169,15,374,3,0.8,0.46,596|1019|2625,BCL2|CDK4|GATA3,-2.3,0
1,-3,TRR00646,M1,1,0,TRRUST,34,Regulated by: JUNB,,-3,15,6.3,30169,16,374,3,0.8,0.46,1029|1956|4014,CDKN2A|EGFR|LORICRIN,-2.2,0
1,-3,TRR00882,M1,1,0,TRRUST,34,Regulated by: NFYB,,-3,15,6.3,30169,16,374,3,0.8,0.46,1027|2353|54345,CDKN1B|FOS|SOX18,-2.2,0
1,-2.9,TRR01071,M1,1,0,TRRUST,34,Regulated by: PTTG1,,-2.9,14,6.1,30169,17,374,3,0.8,0.46,998|5879|7422,CDC42|RAC1|VEGFA,-2.1,0
1,-2.9,TRR01557,M1,1,0,TRRUST,34,Regulated by: ZEB1,,-2.9,13,5.9,30169,18,374,3,0.8,0.46,367|999|4072,AR|CDH1|EPCAM,-2.1,0
1,-2.8,TRR00776,M1,1,0,TRRUST,34,Regulated by: MYB,,-2.8,7.9,4.9,30169,41,374,4,1.1,0.53,596|2064|2625|3932,BCL2|ERBB2|GATA3|LCK,-2,0
1,-2.7,TRR00366,M1,1,0,TRRUST,34,Regulated by: FOXO3,,-2.7,12,5.6,30169,20,374,3,0.8,0.46,367|5290|7422,AR|PIK3CA|VEGFA,-1.9,0
1,-2.7,TRR00494,M1,1,0,TRRUST,34,Regulated by: HMGA1,,-2.7,12,5.6,30169,20,374,3,0.8,0.46,672|999|7157,BRCA1|CDH1|TP53,-1.9,0
1,-2.7,TRR00869,M1,1,0,TRRUST,34,Regulated by: NFE2L2,,-2.7,12,5.4,30169,21,374,3,0.8,0.46,672|3576|6648,BRCA1|CXCL8|SOD2,-1.9,0
1,-2.7,TRR00877,M1,1,0,TRRUST,34,Regulated by: NFKBIA,,-2.7,12,5.4,30169,21,374,3,0.8,0.46,3576|4790|5970,CXCL8|NFKB1|RELA,-1.9,0
1,-2.5,TRR01174,M1,1,0,TRRUST,34,Regulated by: RUNX2,,-2.5,10,5,30169,24,374,3,0.8,0.46,367|2099|7422,AR|ESR1|VEGFA,-1.7,0
1,-2.4,TRR00471,M1,1,0,TRRUST,34,Regulated by: HDAC4,,-2.4,9.7,4.9,30169,25,374,3,0.8,0.46,1029|3725|7422,CDKN2A|JUN|VEGFA,-1.7,0
1,-2.3,TRR00365,M1,1,0,TRRUST,34,Regulated by: FOXO1,,-2.3,8.6,4.5,30169,28,374,3,0.8,0.46,367|1027|3569,AR|CDKN1B|IL6,-1.5,0
1,-2.3,TRR01513,M1,1,0,TRRUST,34,Regulated by: USF2,,-2.3,5.7,3.9,30169,57,374,4,1.1,0.53,672|675|7040|7156,BRCA1|BRCA2|TGFB1|TOP3A,-1.5,0
1,-2.2,TRR00109,M1,1,0,TRRUST,34,Regulated by: CEBPA,,-2.2,5.5,3.8,30169,59,374,4,1.1,0.53,596|3479|3569|6774,BCL2|IGF1|IL6|STAT3,-1.4,0
1,-2.2,TRR00757,M1,1,0,TRRUST,34,Regulated by: MITF,,-2.2,7.8,4.2,30169,31,374,3,0.8,0.46,1017|2353|7439,CDK2|FOS|BEST1,-1.4,0
1,-2.1,TRR00901,M1,1,0,TRRUST,34,Regulated by: NR1I2,,-2.1,7.3,4.1,30169,33,374,3,0.8,0.46,596|4790|5970,BCL2|NFKB1|RELA,-1.4,0
1,-2,TRR00025,M1,1,0,TRRUST,34,Regulated by: ATF4,,-2,6.9,3.9,30169,35,374,3,0.8,0.46,3569|3576|7422,IL6|CXCL8|VEGFA,-1.3,0
