,fit_time,score_time,test_accuracy,test_recall,test_precision,test_roc_auc,test_f1,test_neg_log_loss,folds,model,method
0,10.464829206466675,0.13779592514038086,0.8571428571428571,1.0,0.75,1.0,0.8571428571428571,-0.20703450591109712,fold1,bagmlp,kfold
1,9.036837339401245,0.08066797256469727,1.0,1.0,1.0,1.0,1.0,-0.2821725407759477,fold2,bagmlp,kfold
2,9.33896803855896,0.10536599159240723,0.8571428571428571,1.0,0.75,1.0,0.8571428571428571,-0.349106028476259,fold3,bagmlp,kfold
3,10.025702714920044,0.10084152221679688,1.0,1.0,1.0,1.0,1.0,-0.2454660982585856,fold4,bagmlp,kfold
4,9.810252904891968,0.07565712928771973,0.7142857142857143,1.0,0.6,1.0,0.7499999999999999,-0.3625403799350278,fold5,bagmlp,kfold
5,9.419005155563354,0.07296395301818848,0.42857142857142855,0.6666666666666666,0.4,0.75,0.5,-0.5156537242861821,fold6,bagmlp,kfold
6,9.606802940368652,0.0773007869720459,0.7142857142857143,1.0,0.6,0.9166666666666666,0.7499999999999999,-0.5988561520319466,fold7,bagmlp,kfold
7,9.507654905319214,0.06280732154846191,0.7142857142857143,0.5,1.0,0.8333333333333334,0.6666666666666666,-0.49833166446361493,fold8,bagmlp,kfold
8,6.108968496322632,0.06590437889099121,0.7142857142857143,0.5,1.0,0.5833333333333333,0.6666666666666666,-0.5556942177572007,fold9,bagmlp,kfold
9,6.65766453742981,0.04257845878601074,0.8571428571428571,1.0,0.8,1.0,0.888888888888889,-0.2138070708085124,fold10,bagmlp,kfold
0,10.634944677352905,0.09446454048156738,0.8571428571428571,1.0,0.75,0.9166666666666666,0.8571428571428571,-0.350592594594577,fold1,minibagmlp,kfold
1,9.086381912231445,0.07494926452636719,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,-0.4132004477924341,fold2,minibagmlp,kfold
2,9.947081804275513,0.08050274848937988,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.43300160032886564,fold3,minibagmlp,kfold
3,10.932791471481323,0.15973496437072754,0.8571428571428571,1.0,0.75,1.0,0.8571428571428571,-0.3484680493168589,fold4,minibagmlp,kfold
4,9.53678584098816,0.07649469375610352,0.5714285714285714,1.0,0.5,1.0,0.6666666666666666,-0.4732786107915167,fold5,minibagmlp,kfold
5,11.6402747631073,0.07920598983764648,1.0,1.0,1.0,1.0,1.0,-0.17166017611965945,fold6,minibagmlp,kfold
6,11.306998491287231,0.06445598602294922,0.7142857142857143,1.0,0.6,1.0,0.7499999999999999,-0.40591086549713745,fold7,minibagmlp,kfold
7,10.833060264587402,0.07591009140014648,0.8571428571428571,1.0,0.8,1.0,0.888888888888889,-0.21208429454813094,fold8,minibagmlp,kfold
8,7.7962563037872314,0.05185866355895996,0.7142857142857143,1.0,0.6666666666666666,0.9166666666666667,0.8,-0.48750395319336565,fold9,minibagmlp,kfold
9,6.151695251464844,0.042788028717041016,0.5714285714285714,0.75,0.6,0.8333333333333334,0.6666666666666665,-0.428217300927185,fold10,minibagmlp,kfold
0,0.8315086364746094,0.05339527130126953,1.0,1.0,1.0,1.0,1.0,-0.05185568666044904,fold1,bagmlp,stratified
1,0.6464228630065918,0.06165599822998047,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.4378705840352369,fold2,bagmlp,stratified
2,0.6949460506439209,0.05101776123046875,0.8571428571428571,1.0,0.75,0.9166666666666666,0.8571428571428571,-0.2989804837197826,fold3,bagmlp,stratified
3,0.7216160297393799,0.054731130599975586,0.8571428571428571,0.6666666666666666,1.0,1.0,0.8,-0.4305291480513152,fold4,bagmlp,stratified
4,0.8536393642425537,0.04196667671203613,0.7142857142857143,1.0,0.6,0.8333333333333333,0.7499999999999999,-0.5307940682054874,fold5,bagmlp,stratified
5,0.8867340087890625,0.0418241024017334,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,-1.974104595706923,fold6,bagmlp,stratified
6,0.7175562381744385,0.047084808349609375,0.8571428571428571,1.0,0.75,0.9166666666666666,0.8571428571428571,-0.7580950775054979,fold7,bagmlp,stratified
7,0.8253920078277588,0.03596234321594238,0.8571428571428571,0.75,1.0,0.9166666666666667,0.8571428571428571,-0.4708049514887264,fold8,bagmlp,stratified
8,0.5236606597900391,0.03234362602233887,0.7142857142857143,0.75,0.75,0.8333333333333334,0.75,-0.7240587483195186,fold9,bagmlp,stratified
9,0.5415716171264648,0.028348684310913086,1.0,1.0,1.0,1.0,1.0,-0.17355579023147125,fold10,bagmlp,stratified
0,0.7454285621643066,0.04364418983459473,1.0,1.0,1.0,1.0,1.0,-0.05185568666044904,fold1,minibagmlp,stratified
1,0.6162612438201904,0.04356837272644043,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.4378705840352369,fold2,minibagmlp,stratified
2,0.6779825687408447,0.04312705993652344,0.8571428571428571,1.0,0.75,0.9166666666666666,0.8571428571428571,-0.2989804837197826,fold3,minibagmlp,stratified
3,0.6442081928253174,0.04660296440124512,0.8571428571428571,0.6666666666666666,1.0,1.0,0.8,-0.4305291480513152,fold4,minibagmlp,stratified
4,0.6854331493377686,0.04478573799133301,0.7142857142857143,1.0,0.6,0.8333333333333333,0.7499999999999999,-0.5307940682054874,fold5,minibagmlp,stratified
5,0.6827282905578613,0.043462276458740234,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,-1.974104595706923,fold6,minibagmlp,stratified
6,0.6682190895080566,0.042295217514038086,0.8571428571428571,1.0,0.75,0.9166666666666666,0.8571428571428571,-0.7580950775054979,fold7,minibagmlp,stratified
7,0.70473313331604,0.0363619327545166,0.8571428571428571,0.75,1.0,0.9166666666666667,0.8571428571428571,-0.4708049514887264,fold8,minibagmlp,stratified
8,0.509340763092041,0.032022953033447266,0.7142857142857143,0.75,0.75,0.8333333333333334,0.75,-0.7240587483195186,fold9,minibagmlp,stratified
9,0.5301544666290283,0.029421091079711914,1.0,1.0,1.0,1.0,1.0,-0.17355579023147125,fold10,minibagmlp,stratified
